3GPP	Third Generation Partnership Project
API	Application Programming Interface
APNT	Alternative Positioning, Navigation, and Timing
APU	Auxiliary Power Unit
AR	Augmented Reality
ARGOS	ARmy Global On-the-move Satcom
ARL	Authority Revocation List
ARM	Advanced RISC Machine
ARROW	Anti-jam, Resilient, Radio Objective Waveform
ARSTRAT	Army Forces Strategic Command
ASB	All Stations Broadcast
ASCA	Artillery System Cooperation Activities
ASCM	Advanced Special Communications Mode
ASCOT	All Source Combat Operations and Targeting
ASL	Authorized Stockage List
ASOC	Air Support Operations Center
ASR	Air Support Request
AT	Anti-Tamper; short for Attention (pertains to AT command set)
ATAK	Android Tactical Assault Kit (also referred to as Android Team Awareness Kit)
ATC	Ancillary Terrestrial Carriers; Air Traffic Control
ATCS	Amphibious Tactical Communications System
ATDMA	Adaptive Time Division Multiple Access
ATH	At The Halt
ATI	Advanced Technology International
ATO	Authorization (Approval) to Operate; Air Tasking Order
ATR	Air Transportation Rack; Austin Trumbull Radio
AWGN	Additive White Gaussian Noise
AWR	Air Worthiness Release
BAA	Broad Agency Announcement
BACN	Battlefield Airborne Communications Node
BAO	Battlefield Airmen Office
BATCIS	Battlefield and Tactical Communications & Information System (UK MoD)
BCH	Bose Chaudhuri Hocquenghem
BCID	Battlefield Combat Identification
BCMS	Bowman Communications Management System
BDA	Batch Delivery Acceptance
BDOC	Base Defense Operations Center
BE-CDL	Bandwidth Efficient Common Datalink
BEAM	Bandwidth Efficient Advanced Modulation
BER	Bit Error Rate; Beyond Economical Repair
BFA	
BFEA	Blue Force Electronic Attack
BFT	Blue Force Tracking/Tracker
BFTN	Battle Force Tactical Network
BGA	Ball Grid Array
BGAN	Broadband Global Area Network
BGP	Border Gateway Protocol
BIT	Built-In Test
BITE	Built-In Test Equipment
BKVMS	Bowman Key Variable Management System
BLE	Bluetooth Low Energy
BLOS	Beyond Line of Site
BMS	Battle Management System
BOM	Bill of Material
bps	Bits Per Second
BRSE	Battle Force Tactical Network (BFTN) Resilient Command and Control (RC2) System Enhancement
C&A	Certification & Accreditation
C2	Command and Control
C3	Command, Control and Communications
C4	Command, Control, Communications and Computers
C4ISR	Command, Control, Communications, Computers, Intelligence, Surveillance, and Reconnaissance
C4ISTAR	Command, Control, Communications, Computers, Information/Intelligence, Surveillance, Targeting Acquisition and Reconnaissance
CACMB	Cryptographic Architecture Compliance (was Algorithm Configuration) Management Board
CAGE	Commercial and Gov't Entity
CAI	Common Air Interface
CAJUN	Covert Airborne Joint Universal Network
CAM	Customer Algorithm Modification (Citadel)
CaNDI	Commercial and Non-Developmental Items
CANES	Consolidation of Afloat Navy Enterprise Systems
CAPA	Corrective Action Preventive Action
CAPEC	Common Attack Patter Enumeration and Classification
CAPI	Crypto Application Program Interface
CAR	COMSEC Accounting Record
CARC	Chemical Agent Resistant Coating
CAS	Close Air Support; Channel Access Sublayer
CASS	Close Air Support System
CAVP	Cryptographic Algorithm Validation Program
CBC	Cipher Block Chaining
CBOM	Consolidated Bill of Material
CBRN	Chemical, Biological, Radiological and Nuclear
CBRNE	Chemical, Biological, Radiological, Nuclear and high-yield Explosives
CC	Combat Communications mode of SRW; Critical Capabilities
CCA	Covert Channel Analysis
CCB	Configuration Control Board; Change Control Board
CCCS	Canadian Centre for Cyber Security
CCEB	Combined Communications Electronics Board
CCEP	Commercial COMSEC Evaluation Program
CCEVS	Common Criteria Evaluation and Validation Scheme
CCI	Controlled Cryptographic Item
CCIR	Commander's Critical Information Requirements
CCM	Crypto(graphic) Core Module
CCMS	Command & Control Management System
CCN	Communications Central Node
CCNA	Cisco Certified Network Associate
CDC	Communications Device Class
CDC ECM	Communications Device Class Ethernet Control Model
CDC EEM	Communications Device Class Ethernet Emulation Model
CDD	Capability Development Document
CDLS	Contractor Depot Logistics Support
CDMA	Code Division Multiple Access
CDR	Critical Design Review; consultant/dealer/representative
CDRB	Cross Domain Resolution Board
CDRL	Contract Data Requirements List
CDSE	Cross Domain Support Element
CEC	Collaborative Engagement Capability (Singapore)
CECOM	Communications & Electronics Command
CEMA	Cyber Electronic Magnetic Activity
CER	Cost Estimating Relationship
CERDEC	Communications-Electronics Research, Development and Engineering Command (Center?)
CERP	Capital Equipment Replacement Program
CESG	Communications-Electronics Security Group
CFE	Customer Furnished Equipment
CFF	Call for Fires
CFSR	Contract Funds Status Report
CHIM(P)	Common-good High-grade Infosec Module (Programmable)
CHVP	Cryptographic High Value Product
CI	Configuration Item; Communication Information
CIB	Common Interactive Broadcast
CID	Commercial Item Determination
CIM	
CINC	Commander in Chief
CIPSO	Commercial Internet Protocol Security Option
CIRC	Computer Incidence Response Center
CISCHR	Consolidated Interim Single Channel Handheld radio
CJCSN	Chairman of Joint Chiefs of Staff Notice
CKD	Complete Knock Down
CKG	Combat Key Generator
CLAAS	Closed Loop Antenna Alignment System
CLAW	Communication Location AWareness
CLIP	Common Link Integration Processing
CMDC	Comtech Mobile Datacom Corporation
CMF	Common Message Format; Consortium Management Firm
CMG	Consortium Management Group
CMMI	Capability Maturity Model Integration
CMOSS	C4ISR/Electronic Warfare Modular Open Suite of Standards
CMP	Configuration Management Plan
CMS	Cryptographic Message Syntax
CMVP	Cryptographic Module Validation Program
CND	Computer Network Defense
CNES	Communications Network Effects Simulator
CNR	Combat Net Radio
CNSA	Commercial National Security Algorithm (formerly Suite B)
CNSS	Committee on National Security Systems
COBRA	Collection of Broadcasts from Remote Assets; Collaborative Beamfocusing RF Arrays
CoC	Certificate of Completion
COCO	Contractor Owned Contractor Operated
COE	Common Operating Environment
COI	Communities of Interest
COIN	Counter Insurgency
ComBAT	
COMSEC	Communications Security
CONEMP	Concept of Employment
CONUS	Continental United States
COP	Common Operating Picture
COPQ	Cost of Poor Quality
CORBA	Common Object Request Broker Architecture
CoS	Class of Service
CoT	Cursor on Target
COTHEN	Cellular Over The Horizon Enforcement Network
COTM	Communications-on-the-Move
COTP	Communication on the Pause
COTS	Commercial Off-The-Shelf
CP	Command Post
CPA	Communications Planning Application
CPAR	Contractor Performance Assessment Report
CPARS	Contractor Performance Assessment Reporting System
CPD	Capability Production Document
CPI	Critical Program Information
CPSG	Cryptologic Systems Group
CPU	Central Processing Unit
CQT	Contract Qualification Test
CRA	Cost Realism Assessment
CRADA	Cooperative Research and Development Agreement
CRC	Cyclic Redundancy Check
CRL	Certificate Revocation List
CS	Computer Software
CSAD	Cybersecurity System Architecture Design
CSAR	
CSCI	Computer Software Configuration Item
CSCO	Commercial Satellite Communications Office
CSD	Computer Software Documentation
CSEL	Combat Survivor Evader Locator
CSFC	Commercial Solutions for Classified
CSG	Communication Support Group [Taiwan FICS]
CSMA	Carrier-Sense Multiple Access
CSOW	Contract Statement of Work
CSS	Cryptographic Subsystem
CSTAG	Cryptographic Solutions Technical Advisory Group
CSTG	Community Security Test Group
CT	Critical Technology; Cipher Text; Counter Terrorism
CT2	Cipher Text 2
CT3	Common Tier 3
CTT	Commander's Tactical Terminal
CTTA	Certified TEMPEST Technical Authority
CUCM	Cisco Unified Communications Manager
CVE	Common Vulnerabilities and Exposures
CVI	Cooperative Vulnerability Identification
CVPA	Cooperative Vulnerability Penetration Assessment
CVSD	Continuously Variable Slope Delta modulation
CW	Continuous Wave
CWBS	Contract Work Breakdown Structure
CWE	Common Weakness Enumeration
CWRS	Country-Wide Repeater System
D2CE	Degraded or Denied Communications Environment
DAA	Designated Accrediting Authority (have also seen Designated Approving Authority)
DACA	DSD (Defence Signals Directorate [Australia]) Approved Cryptographic Algorithm
DACAS	Digitally-Aided Close Air Support
DACP	DSD (Defence Signals Directorate [Australia]) Approved Cryptographic Protocol
DAGR	Defense Advanced GPS Receiver
DAL	Data Accession List
DAM	Diagnostic Acceptability Measure
DAT	Dynamic Aperture Technology™
dB	Decibel
DC	Direct Current
DCA	Dynamic Capacity (Channel) Allocation
DCE	DSD (Defence Signals Directorate [Australia]) Cryptographic Evaluation
DCID	Director for Central Intelligence Directive
DCMA	Defense Contract Management Agency
DDNS	Dynamic Domain Name System
DDR2 SDRAM	Double Data Rate Synchronous Dynamic Random Access Memory
DEF-STAN	Defence Standard
DERA	Defence Establishment Research Agency
DFARS	Defense Federal Acquisition Regulation Supplement
DFAT	Destination Final Acceptance Test(ing)
DHCP	Dynamic Host Configuration Protocol
DIACAP	DoD Information Assurance Certification & Accreditation Process
DII/COE	Defense Information Infrastructure / Common Operating Environment
DIL	Disconnected, Intermittent, and (bandwidth) Limited
DISA	Defense Information Systems Agency
DISC4	
DISN	Defense Information Systems Network
DISR	DoD Information technology Standards Registry
DITSCAP	DoD Info Technology Security Certification & Accreditation Process
DLA	Defense Logistics Agency
DLE	Data Link Enterprise
DLED	Dedicated Loop Encryption Device
DLEP	Dynamic Link Exchange Protocol
DLL	Dynamic Link Library
DMD	Data Management Device
DMEA	Defense Microelectronics Activity
DMS	Diminishing Manufacturing Sources
DMSMS	Diminishing Manufacturing Sources and Material Shortages
DNS	Domain Name System
DNSSEC	
DoD	Department of Defense
DoD SAFE	Department of Defense Secure Access File Exchange
DoDAAC	Department of Defense Activity Address Code
DoDAF	Department of Defense Architecture Framework
DoDIN	Department of Defense Information Network
DoDINOps	Department of Defense Information Network Operations
DODISS	Department of Defense Index of Specs & Standards
DOORS	Dynamic Object-Oriented Requirements System
DOT	Department of Transportation
DoW	Department of War
DR	Discrepancy Report
DRB	Deficiency Review Board
DRFM	Digital Radio Frequency Memory
DRT	Diagnostic Rhyme Test
DSA	Dynamic Spectrum Access
DSCO™	Dynamic Software Capability Orchestrator
DSS	Defense Security Services
DSSS	Direct Sequence Spread Spectrum
DSTA	Defence Science & Technology Agency (Singapore)
DT	Demonstration Test [Taiwan FICS]
DT&E	Developmental Test & Evaluation
DTCS	Distributed Tactical Communication System (Iridium)
DTE	Data Terminal Equipment
DTED	Digital Terrain Evaluation Data
DTLS	Datagram Transport Layer Security
DTS	Data Transfer Sublayer
DUNS	Data Universal Numbering System
DUT	Development and User Trials
DVB-S2	Digital Video Broadcast - Satellite
e-SBD	Enhanced Short Burst Data
e2ee	
E3	Excellence, Everywhere, Every day
EAL	Evaluation Assurance Level
EAN	European Article Number
EAP	Extensible Authentication Protocol (TLS provides cipher suite)
EAR	Export Administration Regulations
EBIU	Extended Bus Interface Unit
ECCM	Electronic Counter Counter Measure
ECM	Ethernet Control Model
ECMI	Embedded Cryptographic Modernization Initiative
ECP	Engineering Change Proposal
eCRAFT	Electronic Cost Reporting and Financial Tracking
ECU	End Crypto Unit; Environmental Control Unit
EDC	Effective Date of Contract
EDE-CIS	Ethernet Data Encryptor Cryptographic Interoperability Specification
EDFP	Engineering Data for Provisioning
EDM	Enhanced Data Mode (SINCGARS); Engineering Development Model
EEE	Electromagnetic & Environmental Effects
EEM	Ethernet Emulation Model
EETE	Electrical and Environmental Test Engineering (?)
EFB	Electronic Flight Bag
EIA	Electronics Industries Alliance
EID	Electrically Initiated Devices
EIM	Electronic Interference Mitigation
EIRP	Equivalent Isotropically Radiated Power; Effective Isotropically Radiated Power
EKMS	Electronic Key Management System
ELA	Enterprise License Agreement
ELOT	End Life-Of-Type
EME	Electromagnetic Environment
eMMC	Embedded Multimedia Card
EMS	Element Management System
EMSS	Enhanced Mobile Satellite Services
eNodeB	E-UTRAN Node B (aka Evolved Node B)
ENRAP	
ENTR	Embedded National Tactical Receiver
ENVG-B	Enhanced Night Vision Goggle-Binocular
EoIP	Everything over IP
EOM	Enhanced Operating Mode (SINCGARS)
EPC	Evolved Packet Core
EPLRS	Enhanced Position & Location Reporting System
EPM	Electronic Protection Measures
ERF	Electronic Remote Fill
ERP	Effective Radiated Power; Enterprise Resource Planning
ESA	Electronically Steered Antenna
ESD	Electrostatic Discharge
ESIP	Enhanced System Improvement Program
ESM	Enterprise Security Management
ESN	Electronic Serial Number
ESOH	Environment, Safety and Occupational Health
ESP	Encapsulated Security Payload
ESS	Ethernet Security Specification
ESSOR	European Secure SOftware defined Radio
EUD	End User Device
EVMS	Earned Value Management System
EvO	Evolve to Open
EW	Electronic Warfare
EWPMT	Electronic Warfare Planning and Management Tool
FAAT	First Article Acceptance Testing
FAB-T	Family of Advanced Beyond-Line-Of-Sight Terminals
FAC-A	Airborne Forward Air Control
FACAR	Failure Analysis and Corrective Action Report
FAIR	First Article Inspection Report
FAR	Federal Acquisition Regulations
FAST	First Article System Test
FBAM	Fixed Height, Base Antenna Mast
FBCB2	Force 21 Battle Command Brigade & Below
FCA	Functional Configuration Audit
FCAPS	Fault, Configuration, Accounting, Performance & Security Management
FCS	Future Combat Systems
FDD	Functional Design Document
FDE	Force Development Evaluation
FDR	Final Design Review
FedRAMP	Federal Risk & Authorization Management Program
FEDSIM	Federal Systems Integration and Management Center
FFRDC	Federally Funded Research and Development Center
FH2	Frequency Hopping 2
FHD	Full High Definition
FICS	Field Information Communications System
FIDL	Fully Integrated Data Link
FIPS	Federal Information Processing Standard
FISMA	Federal Information Security Management Act
FIX	Fixed Frequency
FLOT	front line own troops
FLRAA	Future Long Range Assault Aircraft
FMEA	Failure Mode and Effects Analysis
FMECA	Failure Modes, Effects, and Criticality Analysis
FMS	Foreign Military Sales
FMV	Full Motion Video
FOB	Forward Operating Base
FOCD	Final Operational Configuration Demonstration
FOD	Foreign Object Damage (?, USAF)
FOM	Figure of Merit
FoS	Family of Systems
FOSS	Free and Open-Source Software
FoT	Family of Terminals
FOW	Forward Orderwire
FP	Force Protection
FPGA	Field Programmable Gate Array
FPRA	Forward Pricing Rate Agreement
FPRP	Forward Pricing Rate Proposal
FPRR	Forward Pricing Rate Recommendation
FRACAS	Failure Reporting, Analysis, and Corrective Action System
FRP	Full Rate Production
FSA	Final System Acceptance
FSDA	Fail-Safe Design Analysis
FSL	Frequency Selective Limiter
FSR	Field Service Representative
FTA	Fault Tree Analysis
FTP	File Transfer Protocol
FTV	Field Test & Validation
FTX	Field Training Exercise [Taiwan FICS]
FVEY	Five Eyes
GA-ASI	General Atomics Aeronautical Systems, Inc.
GAMI	
GATM	
GB-GRAM	Ground-Based GPS Receiver Applications Module
GCCS	Global Command and Control System
GCCS-M	Global Command and Control System - Maritime
GCM	Galois/Counter Mode
GDUK	General Dynamics United Kingdom
GEMPC	Government Estimate of Most Probable Cost
GEO	Geosynchronous Equatorial Orbit
GETECS	Global End-To-End Communications System
GETS	Government Electronic Tenders Service (NZ)
GFE	Government Furnished Equipment
GFI	Government Furnished Information
GFP	Government Furnished Property
GHOST	Gateway to Host Operational Secure Transfers
GIAP	Global Information Grid Interconnection Approval Process
GIDEP	Government Industry Data Exchange Program
GIS	Geographic Information System; also less commonly Geospatial Information System
GNSS	Global Navigation Satellite System
GOCO	Government Owned Contractor Operated
GOTS	Government Off-The-Shelf
GPETE	General Purpose Electronic Test Equipment
GPIO	General Purpose Input Output
GPR	Government Purpose Rights
GPRS	General Packet Radio Service
GPS	Global Positioning System
GRAM	GPS Receiver Applications Module
GRE	Generic Routing Encapsulation
GS-TWIX	Ground Soldier Technology Workflow, Integration, and eXperience
GSA	General Services Administration
GSAT	Geo-location by Spectral Analysis of Transforms
GST	Goods and Services Tax (NZ)
GVA	Generic Vehicle Architecture
HAIPE	High Assurance Internet Protocol Encryptor/Encryption
HAIPIS	High Assurance IP Interoperability Spec
HALT	Highly Accelerated Life Test
HAMMR	Hand-held Link-16, Air-to-ground, Multi-role, MIDS, Radios
HAMR	Harris Airborne Multi-channel Radio
HCAI	
HCC	High-assurance Cryptographic Customization (Citadel)
HCDR	High Capacity Data Radio
HCLC	Harris Communications Logistics Centre
HCLOS	High Capacity Line of Sight
HDLC	High-level Data Link Control
HDMI	High-Definition Multimedia Interface
HDR	High Dynamic Range (?)
HDV	Hardware Development Verification
HEMP (HAEMP)	High altitude Electromagnetic Pulse
HERBB	Hanscom Electronic Bulletin Board
HERF	Hazards of Electromagnetic Radiation to Fuel
HERO	Hazards of Electromagnetic Radiation to Ordnance
HERP	Hazards of Electromagnetic Radiation to Personnel
HF	High Frequency
HFMP	High Frequency Manpack
HHR	Handheld Radio
HIT	HAIPE Interoperability Testing
HMI	Human Machine Interface
HMMWV	High Mobility Multipurpose Wheeled Vehicle
HMS	Handheld, Manpack and Small Form Fit
HNA	Harris Networking Application?
HNO	Hawaiian Native Organization
HPEM	High Powered Electromagnetics
HPT	High Performance Team
HPW	High Performance Waveform (?)
HQ	Have Quick; Headquarters
HQDA	Headquarters, Department of the Army
HSI	Human Systems Integration
HSPD	Homeland Security Presidential Directive
HSTSS	Hardened Subminiature Telemetry & Sensor System
HTAN	High Throughput Ad-hoc Network
HTTP	Hypertext Transfer Protocol
HUB	Hold Up Battery
HW	Hardware
I&KPT	Instructor and Key Personnel Training
I&OC	Installation and Checkout
IAP	INFOSEC Anonymity Plan
iApp	Intermediate Application (KMI)
IASRD	Information Assurance Security Requirements Directive
IATO	Interim Authorization (Approval) to Operate
IATT	Interim Authorization (Approval) to Test
IBCT	Infantry Brigade Combat Team; also (?) Interim Brigade Combat Team
IBR	Integrated Baseline Review
IBS	Integrated Broadcast Service
IBS-A	Integrated Broadcast Service - Alternate Path
IBW	Instantaneous Bandwidth
ICD	Interface Control Document; Initial Capabilities Document
ICE	Information, Communications and Electronics [Taiwan FICS]
ICMP	Internet Control Message Protocol
ICNIA	Integrated Communications, Navigation, Identification & Avionics
ICP	Industrial Cooperation Plan (Program)
ICPO	Industrial Cooperation Program Office [Taiwan FICS]
ICS	Interim Contractor Support; Industrial Control Systems
ICT	In-Circuit Test
ICV	Integrity Check Value
ICWG	Interface Control Working Group
IDEE	Integrated Digital Engineering Environment
IDM	Improved Data Modem (TACP)
IDR	Initial Design Review
IDS	Intrusion Detection System
IEC	International Electrotechnical Commission
IEEE	Institute of Electrical and Electronics Engineers
IEG	Information Exchange Gateway
IER	Information Exchange Requirements
IETF	Internet Engineering Task Force
IFDL	Intra-Flight Data Link
IFF	Identification Friend or Foe
IGMP	Internet Group Management Protocol
IHO	Intermediate (Integrated?) Home Office
IIC	Inter-Integrated Circuit
IKE	Internet Key Exchange
IKP	Instructor and Key Personnel
IKPT	Instructor and Key Personnel Training
ILS	Integrated Logistics Support
ILSP	Integrated Logistics Support Plan
IMEI	International Mobile Equipment Identity
IMS	Integrated Master Schedule; Intelligent Munitions System
IMSE	Improved Mobile Subscriber Equipment
IMSI	International Mobile Subscriber Identity
INC	Internet Controller
INE	Inline Network Encryptor
INWE	Initial Nuclear Weapons Effects
IOC	Initial Operational Capability
IOPS	Isolate E-UTRAN Operation for Public Safety
IoT	Internet of Things
IP	Internet Protocol
IP-E	Internet Protocol on Ethernet networks
IP/PPP	Internet Protocol / Point-to-Point Protocol
IPAP	In-Process Accounting Procedures
IPMR	Integrated Program Management Report
IPMS	Integrated Program Management System
IPR	In-Process Review
IPS	Intrusion Protection System
IPsec	Internet Protocol security
IR	Information Repository
IRDM-NB	Iridium Narrowband
IRIS	Immediate Response Information System
IRST	Infrared Search and Track
ISAKMP	Internet Security Association & Key Management Protocol
iSCSI	Internet Small Computer Systems Interface
ISCSK	Inter-Sierra Serial Communication Security Key
ISR	Intelligence, Surveillance and Reconnaissance
ITACS	Integrated Tactical Area Communications System
ITAR	International Traffic in Arms Regulations
ITM	Irregular Terrain Model
ITN	Integrated Tactical Network
ITNE	Integrated Tactical Network Environment
ITP	Invitation to Participate
ITS	Institute for Telecommunication Sciences
ITT	Integrated Test Team
IUID	Item Unique Identification
IV&V	Independent Validation & Verification
IW	Integrated Waveform; Irregular Warfare
IWG	Interoperability Working Group [Taiwan FICS]
JADC2	Joint All-Domain Command and Control
JALN	Joint Aerial Layer Network
JAN-TE	Joint Airborne Network Tactical Edge
JARN	Joint Air Request Network
JAUS	Joint Architecture for Unmanned Systems
JBC-P	Joint Battle Command - Platform
JBW	JTRS Bowman Waveform
JCIDS	Joint Capabilities Integration and Development System
JDAM	Joint Direct Attack Munition
JEDI	Joint Enterprise Defense Infrastructure
JEDMICS	Joint Eng Data Info & Control System
JEM	JTRS Enhanced MBITR
JENM	Joint Enterprise Network Manager
JFO	Joint Fires Observers
JIE	Joint Information Environment
JITC	Joint Interoperability Test Command
JLTV	Joint Light Tactical Vehicle
JOJO	Jump Out Jump Over
JPO	Joint Program Office
JREAP	Joint Range Extension Application Protocol
JROC	Joint Requirements Oversight Council
JTAC	Joint Terminal Attack Controller
JTAG	Joint Test Action Group
JTASR	Joint Tactical Air Strike Request
JTEL	Joint Test & Evaluation Lab
JTF/GNO	Joint Task Force / Global Network Operations
JTIDS	Joint Tactical Information Distribution System
JTNC	Joint Tactical Networking Center
JTRS	Joint Tactical Radio System
JTT	Joint Tactical Terminal
JTWS	
JVMF	Joint Variable Message Format
JWICS	Joint Worldwide Intelligence Communications System
kbps	Kilobits Per Second
KCMA	Key and Certificate Management Architecture
KCMP	Key and Certificate Management Plan
KDU	Keypad Display Unit
kg	Kilogram
KGA	Key Generation Application
KGV	Not an acronym, part of the nomenclature of crypto equipment
kHz	kilohertz
KLIF	KDP Loading & Installation Facility
KML	Keyhole Markup Language
KPP	Key Performance Parameter
KSA	Key System Attribute
KVM	Keyboard Video Mouse
kW	Kilowatt
L-TAC	L-Band Tactical
LAA	Light Attack Aircraft
LAKMS	Local AEHF Key Management System
LAN	Local Area Network
LBC	Labor Bid Code
LDC	Limited Dissemination Control
LDPC	Low-Density Parity-Check
LDV	Last Ditch Voice
LEF	Link Encryptor Family
LEO	Low Earth Orbit
LIDAR	Light Detection and Ranging
LLNR	Low Latency Networking Radio (Singapore)
LMAMS	Lethal Miniature Aerial Munitions System
LOE	Level of Effort
LORA	Level of Repair Analysis
LOS	Line of Site
LOS CaT	Line Of Sight Capability Team (NATO)
LOT	Life Of Type
LPC	Linear Predictive Coding
LPD	Low Probability of Detection
LPDP	Local Policy Decision Point
LPE	Low Probability of Exploitation
LPI	Low Probability of Interception
LPO	Lead Program Office
LQA	Link Quality Analysis
LRIP	Low Rate Initial Production
LRU	Line Replaceable Unit
LSA	Logistics Support Analysis
LSB	Lower Sideband
LSI	Lead System Integrator
LSP	Lead Service Provider
LSW	LEO Satellite Waveform
LTD	Laser Target Designator
LTE	Long Term Evolution
LTI	Lower Tactical Internet
LUT	Limited User Test
LYOU	Last Year of Use
M-TNW	Mid-tier TDMA Networking Waveform
MAC	Mandatory Access Control; Mission Assurance Category; Media Access Control; Message Authentication Code; Maintenance Allocation Chart [Taiwan FICS]
MACA	Multiple Access with Collision Avoidance
MACCS	Marine Air Command and Control System
MADL	Multifunction Advanced Data Link
MAGTF	Marine Air-Ground Task Force
MALSR	Multi-level Abstracted Link State Routing
MANET	Mobile Ad-hoc Network
MANPRINT	Manpower and Personnel Integration
MBMP	Multiband Manpack (radio)
Mbps	Megabits Per Second
MBSE	Model Based Systems Engineering
MCC	Mission-Critical Communications
MCE	Mounted Computing Environment
MCMP	Multi-Channel Manpack
MCPTT	Mission Critical Push to Talk
MCS	Mobile Communications Sub-System
MCTL	Militarily Critical Technologies List
MCTM	MUOS Compressed Tunnel Mode (compresses voice, serial data, IP compression)
MCU	Multipoint Conference Unit [Taiwan FICS]
MCX	Micro Coaxial; Mission-Critical Services
MDA	Milestone Decision Authority; Missile Defense Agency
MEAT	Most Economical Acceptable Tender; Most Economically Advantageous Tender
MELP	Mixed-Excitation Linear Prediction
MELPe	Mixed-Excitation Linear Prediction, extended
MEP	Minimum Error Propagation
MFOCA	Mixed Fiber Optic Cable Assembly
MFoCS	Mounted Family of Computer Systems
MFP	Materiel Fielding Plan
MGC	Management Client
MGRS	Military Grid Reference System
MGUE	Modernized GPS User Equipment
MHAS	Minimize and Harden Attack Surfaces
MHz	Megahertz
MIB	Management Information Base
MICT	Mobile Information and Communication Technology [Australia]
MIDS LVT	Multifunctional Information Distribution System Low Volume Terminal
MIG	MCSC Iridium Gateway
MIL-STD	Military Standard
MILSTAR	Military Strategic, Tactical And Relay
MIMO	Multiple Input & Multiple Output
MIP	Multilateral Interoperability Programme
MITD	Milestone Integration Test and Demonstrations
MJO	Major Joint Operation
MKA	MACsec Key Agreement Protocol
MLA	Manufacturing License Agreement
MLPP	Multilevel Precedence and Preemption
MMC	Mission Management Center
MMC-T	Mounted Mission Command - Transport
MND	Ministry of National Defense
MNVR	Mid-Tier Networking Vehicular Radio
MOB	Main Operating Base
MOOTW	Military Operations Other Than War
MOPP	Mission Oriented Protective Posture
MOS	Mean Opinion Score; Military Occupational Specialty
MOSA	Modular Open Systems Approach
MOT&E	Multi-service Operational Test & Evaluation
MP	Manpack
MPE	Mission Partner Environment
MPLS	Multiprotocol Label Switching
MRP	Material Requirements Planning
MS&A	Modeling, Simulation, & Analysis
MSA	Mobile Security Attachment
MSL	Mean Sea Level
MSLS	Multiple Single Levels of Security
MSR	Monthly Status Report
MTA	Maintenance Task Analysis
MTBCF	Mean Time Between Critical Failure
MTBEFF	Mean Time Between Essential Function Failure
MTBF	Mean Time Between Failures
MTBOMF	Mean Time Between Operational Mission Failure
MTI	Moving Target Indication
MTL	Maintenance Task List
MTS	
MUM-T	Manned-Unmanned Teaming
MUOS	Mobile User Objective System
NAICS	North American Industry Classification System
NAT	Network Address Translation
NAT-T	Network Address Translation-Traversal
NATO	North Atlantic Treaty Organization
NAVAIR	Naval Air Systems Command
NAVSSI	Navigation Sensor System Interface
NB	Narrowband
NCCT	Network Centric Collaborative Targeting
NCDSMO	National Cross Domain Strategy & Management Office
NCIA	NATO Communications and Information Agency
NCIDs	Network Centric Implementation Documents (protocols)
NCOIC	Non-Commissioned Officer In Charge [Taiwan FICS]
NCSC	National Cyber Security Center (UK); NSA/CSS Commercial Solutions Center
NCSIST	N
NCTAMS	Navy Computer & Telecommunications Area ...
NDI	Non-Developmental Item
NEA	Network Enabled Army
NECC	Net Enabled Command Capability
NEH	NOC (Network Operations Center) Encryption Hardware
